file_name,description
grunfeld.csv, The grunfeld database
MySQLiteDatabase.SQLITE, Example of sqlite data
pride_and_prejudice.txt, The full text of book price and prejudice
FTSE.csv, The FTSE index
SP500.csv, The SP500 index
SP500_Excel.xlsx, The SP500 index in excel
SP500-Stocks_long.csv, US stocks in the long format
SP500-Stocks_wide.csv,  US stocks in the wide format
SP500-Stocks-WithRet.rds, US stocks in the long format and with return
top25babynames-by-sex-2005-2017.csv, Baby names of USC
UCI_Credit_Card.csv, Credit card data from UCI
SP500_Stocks_long_by_year.rds, Yearly price data from Yahoo Finance
Brazil_footbal_games.csv,Games of footbal for the brazilian soccer team
Ibov_long_2010-01-01_2018-09-12.rds,Ibovespa index
SP500_comp_YEARLY_long_2014-10-03_2019-10-02.rds,SP500 composition by year
